scalars,Texture Coordinates:0,Texture Coordinates:1,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0175761,0,0,50,-50,-50,0,0
0.0175761,1,0,-4,-50,-50,1,0
0.0183283,0,0,50,-50,50,2,0
0.0183283,1,0,50,-50,-5,3,0
0.0191547,0,0,-50,-50,-50,4,0
0.0191547,1,0,-4,-50,-50,5,0
0.0211409,0,0,-4,-50,-50,6,0
0.0211409,1,0,50,-50,-5,7,0
0.0216952,0,0,50,50,-50,8,0
0.0216952,1,0,50,21,-50,9,0
0.0222894,0,0,50,-50,-5,10,0
0.0222894,1,0,50,21,-50,11,0
0.0238499,0,0,50,21,-50,12,0
0.0238499,1,0,-32,-50,50,13,0
0.0243287,0,0,-50,-50,50,14,0
0.0243287,1,0,-32,-50,50,15,0
0.0273972,0,0,-32,-50,50,16,0
0.0273972,1,0,50,31,50,17,0
0.0287353,0,0,50,50,50,18,0
0.0287353,1,0,50,31,50,19,0
0.0349843,0,0,50,31,50,20,0
0.0349843,1,0,-50,23,-50,21,0
0.0364879,0,0,-50,50,-50,22,0
0.0364879,1,0,-50,23,-50,23,0
0.0482363,0,0,-50,23,-50,24,0
0.0482363,1,0,-50,3,50,25,0
0.0486671,0,0,-50,50,50,26,0
0.0486671,1,0,-50,3,50,27,0
0.528176,0,0,-50,3,50,28,0
0.528176,1,0,6,43,34,29,0
