scalars,NodeIdentifier,VertexIdentifier,NodeType,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0204564,3,46,1,-4,-50,-50,0,0
0.0146957,0,100,0,50,-50,-50,1,0
0.0218253,5,459145,1,50,-50,-5,2,0
0.0148312,1,1020200,0,50,-50,50,3,0
0.0178531,2,0,0,-50,-50,-50,4,0
0.0227535,6,7271,1,50,21,-50,5,0
0.0206369,4,10200,0,50,50,-50,6,0
0.0249463,8,1020118,1,-32,-50,50,7,0
0.0237111,7,1020100,0,-50,-50,50,8,0
0.0298481,10,1028381,1,50,31,50,9,0
0.0276224,9,1030300,0,50,50,50,10,0
0.0401205,12,7373,1,-50,23,-50,11,0
0.0328552,11,10100,0,-50,50,-50,12,0
0.0563521,14,1025453,1,-50,3,50,13,0
0.040982,13,1030200,0,-50,50,50,14,0
1,15,866333,3,6,43,34,15,0
