magnitude,Texture Coordinates:0,Texture Coordinates:1,Points:0,Points:1,Points:2,vtkOriginalIndices
0.0396072,0,0,23,23,0,0
0.0396072,1,0,29,26,0,1
0.0673524,0,0,30,27,0,2
0.0673524,1,0,29,26,0,3
0.118474,0,0,29,26,0,4
0.118474,1,0,30,24,0,5
0.130627,0,0,31,24,0,6
0.130627,1,0,30,24,0,7
0.30948,0,0,30,24,0,8
0.30948,1,0,36,26,0,9
0.351016,0,0,40,22,0,10
0.351016,1,0,36,26,0,11
0.692013,0,0,36,26,0,12
0.692013,1,0,46,23,0,13
0.758887,0,0,51,28,0,14
0.758887,1,0,46,23,0,15
0.819612,0,0,92,22,0,16
0.819612,1,0,99,24,0,17
0.854231,0,0,64,22,0,18
0.854231,1,0,71,24,0,19
0.835674,0,0,78,26,0,20
0.835674,1,0,85,24,0,21
0.819651,0,0,106,27,0,22
0.819651,1,0,113,25,0,23
0.827551,0,0,120,22,0,24
0.827551,1,0,127,24,0,25
0.835637,0,0,134,27,0,26
0.835637,1,0,141,25,0,27
0.83747,0,0,148,22,0,28
0.83747,1,0,155,24,0,29
0.837977,0,0,162,26,0,30
0.837977,1,0,169,24,0,31
0.833722,0,0,176,23,0,32
0.833722,1,0,183,24,0,33
0.783539,0,0,399,24,0,34
0.783539,1,0,391,24,0,35
0.830117,0,0,190,26,0,36
0.830117,1,0,197,24,0,37
0.785539,0,0,384,25,0,38
0.785539,1,0,391,24,0,39
0.786662,0,0,371,24,0,40
0.786662,1,0,377,25,0,41
0.82552,0,0,204,23,0,42
0.82552,1,0,210,25,0,43
0.79245,0,0,343,24,0,44
0.79245,1,0,350,25,0,45
0.801425,0,0,288,24,0,46
0.801425,1,0,294,25,0,47
0.791793,0,0,357,25,0,48
0.791793,1,0,364,24,0,49
0.795724,0,0,329,25,0,50
0.795724,1,0,336,24,0,51
0.800882,0,0,301,25,0,52
0.800882,1,0,308,24,0,53
0.808189,0,0,260,24,0,54
0.808189,1,0,266,25,0,55
0.805318,0,0,274,25,0,56
0.805318,1,0,280,24,0,57
0.797737,0,0,315,24,0,58
0.797737,1,0,322,25,0,59
0.821658,0,0,218,26,0,60
0.821658,1,0,225,24,0,61
0.816876,0,0,232,23,0,62
0.816876,1,0,238,25,0,63
0.813289,0,0,246,25,0,64
0.813289,1,0,252,24,0,65
0.793585,0,0,391,24,0,66
0.793585,1,0,377,25,0,67
0.798375,0,0,377,25,0,68
0.798375,1,0,364,24,0,69
0.803237,0,0,364,24,0,70
0.803237,1,0,350,25,0,71
0.806995,0,0,350,25,0,72
0.806995,1,0,336,24,0,73
0.811543,0,0,336,24,0,74
0.811543,1,0,322,25,0,75
0.816611,0,0,322,25,0,76
0.816611,1,0,308,24,0,77
0.820824,0,0,308,24,0,78
0.820824,1,0,294,25,0,79
0.825081,0,0,294,25,0,80
0.825081,1,0,280,24,0,81
0.831351,0,0,280,24,0,82
0.831351,1,0,266,25,0,83
0.838858,0,0,266,25,0,84
0.838858,1,0,252,24,0,85
0.847411,0,0,252,24,0,86
0.847411,1,0,238,25,0,87
0.85624,0,0,238,25,0,88
0.85624,1,0,225,24,0,89
0.86621,0,0,225,24,0,90
0.86621,1,0,210,25,0,91
0.876733,0,0,210,25,0,92
0.876733,1,0,197,24,0,93
0.887896,0,0,197,24,0,94
0.887896,1,0,183,24,0,95
0.900195,0,0,183,24,0,96
0.900195,1,0,169,24,0,97
0.911794,0,0,169,24,0,98
0.911794,1,0,155,24,0,99
0.922501,0,0,155,24,0,100
0.922501,1,0,141,25,0,101
0.961475,0,0,46,23,0,102
0.961475,1,0,0,37,0,103
0.931989,0,0,141,25,0,104
0.931989,1,0,127,24,0,105
0.939233,0,0,127,24,0,106
0.939233,1,0,113,25,0,107
0.948368,0,0,113,25,0,108
0.948368,1,0,99,24,0,109
0.96461,0,0,99,24,0,110
0.96461,1,0,85,24,0,111
0.994029,0,0,85,24,0,112
0.994029,1,0,71,24,0,113
1.0001,0,0,0,43,0,114
1.0001,1,0,0,37,0,115
1.00014,0,0,0,0,0,116
1.00014,1,0,0,15,0,117
1.00017,0,0,0,37,0,118
1.00017,1,0,0,15,0,119
1.01548,0,0,0,15,0,120
1.01548,1,0,57,26,0,121
1.01593,0,0,71,24,0,122
1.01593,1,0,93,3,0,123
1.01861,0,0,94,0,0,124
1.01861,1,0,93,3,0,125
1.02238,0,0,93,3,0,126
1.02238,1,0,106,46,0,127
1.02507,0,0,109,49,0,128
1.02507,1,0,106,46,0,129
1.02732,0,0,106,46,0,130
1.02732,1,0,121,3,0,131
1.02819,0,0,122,0,0,132
1.02819,1,0,121,3,0,133
1.02974,0,0,121,3,0,134
1.02974,1,0,134,46,0,135
1.0302,0,0,134,49,0,136
1.0302,1,0,134,46,0,137
1.0307,0,0,134,46,0,138
1.0307,1,0,57,26,0,139
1.03149,0,0,57,26,0,140
1.03149,1,0,149,3,0,141
1.03218,0,0,149,0,0,142
1.03218,1,0,149,3,0,143
1.05801,0,0,149,3,0,144
1.05801,1,0,43,0,0,145
1.08336,0,0,38,0,0,146
1.08336,1,0,43,0,0,147
1.25288,0,0,43,0,0,148
1.25288,1,0,25,20,0,149
