Node:0,Node:1,Scalar:0,Scalar:1
9223,10429,0.0,0.0677864
10829,10429,0.0635064,0.0677864
10429,9630,0.0677864,0.142702
9631,9630,0.117195,0.142702
9630,10436,0.142702,0.457957
9239,10436,0.215218,0.457957
10436,8846,0.457957,0.913543
10850,8846,0.590381,0.913543
8892,9699,0.688627,0.955524
8863,9670,0.694922,1.0121
10906,9713,0.697987,0.941472
10877,10084,0.698534,0.978341
8920,9727,0.720775,0.935916
10934,10140,0.745115,0.926134
8948,9755,0.760151,0.916704
9998,9990,0.768629,0.78961
10561,10168,0.770897,0.906593
9375,9783,0.775487,0.893463
10384,9990,0.776311,0.78961
9971,10377,0.778018,0.793123
10589,10196,0.779153,0.883484
9943,10349,0.780706,0.804104
9403,9811,0.780971,0.872318
10356,9963,0.781024,0.801948
9887,10294,0.781265,0.822202
10329,9935,0.781901,0.809789
10301,9908,0.782009,0.82028
9915,10322,0.782207,0.813386
10273,9880,0.782437,0.829195
9459,10266,0.782987,0.835183
10617,9824,0.783189,0.862757
9431,10238,0.783363,0.852643
10645,9852,0.783963,0.844638
9990,10377,0.78961,0.793123
10377,9963,0.793123,0.801948
9963,10349,0.801948,0.804104
10349,9935,0.804104,0.809789
9935,10322,0.809789,0.813386
10322,9908,0.813386,0.82028
9908,10294,0.82028,0.822202
10294,9880,0.822202,0.829195
9880,10266,0.829195,0.835183
10266,9852,0.835183,0.844638
9852,10238,0.844638,0.852643
10238,9824,0.852643,0.862757
9824,9811,0.862757,0.872318
9811,10196,0.872318,0.883484
10196,9783,0.883484,0.893463
9783,10168,0.893463,0.906593
10168,9755,0.906593,0.916704
8846,14800,0.913543,1.00016
9755,10140,0.916704,0.926134
10140,9727,0.926134,0.935916
9727,9713,0.935916,0.941472
9713,9699,0.941472,0.955524
9699,10084,0.955524,0.978341
10084,9670,0.978341,1.0121
17200,14800,1.00007,1.00016
0,6000,1.00008,1.00019
14800,6000,1.00016,1.00019
6000,10057,1.00019,1.03165
9670,18478,1.0121,1.01228
19678,19278,1.01226,1.01227
18878,19278,1.01227,1.01227
19278,18478,1.01227,1.01228
18478,1293,1.01228,1.01901
93,1293,1.01823,1.01901
1293,18506,1.01901,1.02526
19709,18506,1.02431,1.02526
18506,1321,1.02526,1.02899
121,1321,1.02763,1.02899
1321,18534,1.02899,1.03095
19734,18534,1.03004,1.03095
18534,10057,1.03095,1.03165
10057,1347,1.03165,1.03225
147,1347,1.03215,1.03225
1347,43,1.03225,1.0862
38,43,1.08509,1.0862
43,8025,1.0862,1.42109
